ann_index,source_xml_x,source_rgb_x,label_x,ann_index_x,source_xml_y,source_rgb_y,label_y,index_right,individualID_x,scientificName_x,lat,lon,plotID,_coord_src,dist_m_x,match_type_x,year_ann,site_ann,ann_index_y,individualID_y,scientificName_y,year_field,site_field,match_type_y,dist_m_y,match_type,confidence,species,match_type_c,dist_m_c,_rank,_dist
189059,BART_036_2019.xml,BART_036_2019.tif,Tree,25163,BART_036_2019.xml,BART_036_2019.tif,Tree,143,NEON.PLA.D01.BART.04562,Fagus grandifolia Ehrh.,44.06197930228887,-71.2859530897224,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189060,BART_036_2019.xml,BART_036_2019.tif,Tree,25163,BART_036_2019.xml,BART_036_2019.tif,Tree,225,NEON.PLA.D01.BART.04562,Fagus grandifolia Ehrh.,44.06197930228887,-71.2859530897224,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189061,BART_036_2019.xml,BART_036_2019.tif,Tree,25163,BART_036_2019.xml,BART_036_2019.tif,Tree,231,NEON.PLA.D01.BART.04562,Fagus grandifolia Ehrh.,44.06197930228887,-71.2859530897224,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189065,BART_036_2019.xml,BART_036_2019.tif,Tree,25167,BART_036_2019.xml,BART_036_2019.tif,Tree,172,NEON.PLA.D01.BART.04537,Acer rubrum L.,44.06222739085997,-71.28576806895303,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Acer rubrum L.,within,0.0,0,0.0
189066,BART_036_2019.xml,BART_036_2019.tif,Tree,25168,BART_036_2019.xml,BART_036_2019.tif,Tree,230,NEON.PLA.D01.BART.05000,Tsuga canadensis (L.) Carrière,44.06193260883709,-71.2858761920172,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Tsuga canadensis (L.) Carrière,within,0.0,0,0.0
189067,BART_036_2019.xml,BART_036_2019.tif,Tree,25169,BART_036_2019.xml,BART_036_2019.tif,Tree,261,NEON.PLA.D01.BART.04550,Fagus grandifolia Ehrh.,44.061990036531135,-71.28584785218747,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189071,BART_036_2019.xml,BART_036_2019.tif,Tree,25173,BART_036_2019.xml,BART_036_2019.tif,Tree,141,NEON.PLA.D01.BART.04975,Picea rubens Sarg.,44.06214627872181,-71.2856868350253,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Picea rubens Sarg.,within,0.0,0,0.0
189072,BART_036_2019.xml,BART_036_2019.tif,Tree,25173,BART_036_2019.xml,BART_036_2019.tif,Tree,271,NEON.PLA.D01.BART.04975,Picea rubens Sarg.,44.06214627872181,-71.2856868350253,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Picea rubens Sarg.,within,0.0,0,0.0
189073,BART_036_2019.xml,BART_036_2019.tif,Tree,25174,BART_036_2019.xml,BART_036_2019.tif,Tree,151,NEON.PLA.D01.BART.04992,Fagus grandifolia Ehrh.,44.06206160287898,-71.28577316543243,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189074,BART_036_2019.xml,BART_036_2019.tif,Tree,25174,BART_036_2019.xml,BART_036_2019.tif,Tree,265,NEON.PLA.D01.BART.04992,Fagus grandifolia Ehrh.,44.06206160287898,-71.28577316543243,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Fagus grandifolia Ehrh.,within,0.0,0,0.0
189079,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,161,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189080,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,268,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189081,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,166,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189082,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,163,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189083,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,186,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189084,BART_036_2019.xml,BART_036_2019.tif,Tree,25179,BART_036_2019.xml,BART_036_2019.tif,Tree,241,NEON.PLA.D01.BART.04534,Betula alleghaniensis Britton,44.0620178631617,-71.28595450432005,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
189085,BART_036_2019.xml,BART_036_2019.tif,Tree,25180,BART_036_2019.xml,BART_036_2019.tif,Tree,273,NEON.PLA.D01.BART.04967,Acer rubrum L.,44.06223681016688,-71.28582087528595,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Acer rubrum L.,within,0.0,0,0.0
189087,BART_036_2019.xml,BART_036_2019.tif,Tree,25182,BART_036_2019.xml,BART_036_2019.tif,Tree,229,NEON.PLA.D01.BART.04974A,Betula alleghaniensis Britton,44.06218390897347,-71.2857131107209,BART_036,LL,0.0,within,2019.0,,,,,,,,,no_hit,high,Betula alleghaniensis Britton,within,0.0,0,0.0
